,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,36.74,39.73,42.72,46.99,49.98,53.40,58.10,62.80,67.50,72.62,78.50,85.41,92.31,99.22,106.76
2-Hit DMG,36.74,39.73,42.72,46.99,49.98,53.40,58.10,62.80,67.50,72.62,78.50,85.41,92.31,99.22,106.76
3-Hit DMG,47.45,51.32,55.18,60.70,64.56,68.98,75.04,81.11,87.18,93.81,101.39,110.32,119.24,128.16,137.89
4-Hit DMG,49.75,53.80,57.85,63.64,67.68,72.31,78.68,85.04,91.40,98.35,106.30,115.65,125.01,134.36,144.57
5-Hit DMG,62.07,67.13,72.18,79.40,84.45,90.22,98.16,106.10,114.04,122.70,132.63,144.30,155.97,167.64,180.38
Charged Attack 1 DMG,47.30,51.15,55,60.50,64.35,68.75,74.80,80.85,86.90,93.50,101.06,109.96,118.85,127.74,137.45
Charged Attack 2 DMG,60.20,65.10,70,77,81.90,87.50,95.20,102.90,110.60,119,128.62,139.94,151.26,162.58,174.93
Charged Attack Stamina Cost,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Plunge DMG,63.93,69.14,74.34,81.77,86.98,92.93,101.10,109.28,117.46,126.38,135.30,144.22,153.14,162.06,170.98
Low Plunge DMG,127.84,138.24,148.65,163.51,173.92,185.81,202.16,218.51,234.86,252.70,270.54,288.38,306.22,324.05,341.89
High Plunge DMG,159.68,172.67,185.67,204.24,217.23,232.09,252.51,272.93,293.36,315.64,337.92,360.20,382.48,404.76,427.04
