,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,36.12,39.06,42,46.20,49.14,52.50,57.12,61.74,66.36,71.40,76.44,81.48,86.52,91.56,96.60
2-Hit DMG,36.12,39.06,42,46.20,49.14,52.50,57.12,61.74,66.36,71.40,76.44,81.48,86.52,91.56,96.60
3-Hit DMG,46.44,50.22,54,59.40,63.18,67.50,73.44,79.38,85.32,91.80,98.28,104.76,111.24,117.72,124.20
4-Hit DMG,47.30,51.15,55,60.50,64.35,68.75,74.80,80.85,86.90,93.50,100.10,106.70,113.30,119.90,126.50
5-Hit DMG,59.34,64.17,69,75.90,80.73,86.25,93.84,101.43,109.02,117.30,125.58,133.86,142.14,150.42,158.70
Aimed Shot,43.86,47.43,51,56.10,59.67,63.75,69.36,74.97,80.58,86.70,92.82,98.94,105.06,111.18,117.30
Fully-Charged Aimed Shot,124,133.30,142.60,155,164.30,173.60,186,198.40,210.80,223.20,235.60,248,263.50,279,294.50
Plunge DMG,56.83,61.45,66.08,72.69,77.31,82.60,89.87,97.14,104.41,112.34,120.27,128.20,136.12,144.05,151.98
Low Plunge DMG,113.63,122.88,132.13,145.35,154.59,165.17,179.70,194.23,208.77,224.62,240.48,256.34,272.19,288.05,303.90
High Plunge DMG,141.93,153.49,165.04,181.54,193.10,206.30,224.45,242.61,260.76,280.57,300.37,320.18,339.98,359.79,379.59
