,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,40.59,43.90,47.20,51.92,55.22,59,64.19,69.38,74.58,80.24,85.90,91.57,97.23,102.90,108.56
2-Hit DMG,42.14,45.57,49,53.90,57.33,61.25,66.64,72.03,77.42,83.30,89.18,95.06,100.94,106.82,112.70
3-Hit DMG,52.80,57.10,61.40,67.54,71.84,76.75,83.50,90.26,97.01,104.38,111.75,119.12,126.48,133.85,141.22
4-Hit DMG (x3),18.75,20.27,21.80,23.98,25.51,27.25,29.65,32.05,34.44,37.06,39.68,42.29,44.91,47.52,50.14
5-Hit DMG,70.86,76.63,82.40,90.64,96.41,103,112.06,121.13,130.19,140.08,149.97,159.86,169.74,179.63,189.52
Charged Attack DMG,55.13,59.61,64.10,70.51,75,80.13,87.18,94.23,101.28,108.97,116.66,124.35,132.05,139.74,147.43
Charged Attack Stamina Cost,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Plunge DMG,63.93,69.14,74.34,81.77,86.98,92.93,101.10,109.28,117.46,126.38,135.30,144.22,153.14,162.06,170.98
Low Plunge DMG,127.84,138.24,148.65,163.51,173.92,185.81,202.16,218.51,234.86,252.70,270.54,288.38,306.22,324.05,341.89
High Plunge DMG,159.68,172.67,185.67,204.24,217.23,232.09,252.51,272.93,293.36,315.64,337.92,360.20,382.48,404.76,427.04
