,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,44.55,48.17,51.80,56.98,60.61,64.75,70.45,76.15,81.84,88.06,94.28,100.49,106.71,112.92,119.14
2-Hit DMG,42.74,46.22,49.70,54.67,58.15,62.13,67.59,73.06,78.53,84.49,90.45,96.42,102.38,108.35,114.31
3-Hit DMG,54.61,59.06,63.50,69.85,74.30,79.38,86.36,93.35,100.33,107.95,115.57,123.19,130.81,138.43,146.05
4-Hit DMG,59.68,64.54,69.40,76.34,81.20,86.75,94.38,102.02,109.65,117.98,126.31,134.64,142.96,151.29,159.62
5-Hit DMG,71.90,77.75,83.60,91.96,97.81,104.50,113.70,122.89,132.09,142.12,152.15,162.18,172.22,182.25,192.28
Charged Attack 1 DMG,55.90,60.45,65,71.50,76.05,81.25,88.40,95.55,102.70,110.50,118.30,126.10,133.90,141.70,149.50
Charged Attack 2 DMG,60.72,65.66,70.60,77.66,82.60,88.25,96.02,103.78,111.55,120.02,128.49,136.96,145.44,153.91,162.38
Charged Attack Stamina Cost,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Plunge DMG,63.93,69.14,74.34,81.77,86.98,92.93,101.10,109.28,117.46,126.38,135.30,144.22,153.14,162.06,170.98
Low Plunge DMG,127.84,138.24,148.65,163.51,173.92,185.81,202.16,218.51,234.86,252.70,270.54,288.38,306.22,324.05,341.89
High Plunge DMG,159.68,172.67,185.67,204.24,217.23,232.09,252.51,272.93,293.36,315.64,337.92,360.20,382.48,404.76,427.04
