,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
Stance Change DMG,72,77.40,82.80,90,95.40,100.80,108,115.20,122.40,129.60,136.80,144,153,162,171
1-Hit DMG,38.87,42.04,45.20,49.72,52.88,56.50,61.47,66.44,71.42,76.84,82.26,87.69,93.11,98.54,103.96
2-Hit DMG,41.62,45.01,48.40,53.24,56.63,60.50,65.82,71.15,76.47,82.28,88.09,93.90,99.70,105.51,111.32
3-Hit DMG,56.33,60.92,65.50,72.05,76.64,81.88,89.08,96.29,103.49,111.35,119.21,127.07,134.93,142.79,150.65
4-Hit DMG,59.94,64.82,69.70,76.67,81.55,87.13,94.79,102.46,110.13,118.49,126.85,135.22,143.58,151.95,160.31
5-Hit DMG,55.30,59.80,64.30,70.73,75.23,80.38,87.45,94.52,101.59,109.31,117.03,124.74,132.46,140.17,147.89
6-Hit 1 DMG,35.43,38.32,41.20,45.32,48.20,51.50,56.03,60.56,65.10,70.04,74.98,79.93,84.87,89.82,94.76
6-Hit 2 DMG,37.67,40.73,43.80,48.18,51.25,54.75,59.57,64.39,69.20,74.46,79.72,84.97,90.23,95.48,100.74
Charged Attack 1 DMG,60.20,65.10,70,77,81.90,87.50,95.20,102.90,110.60,119,127.40,135.80,144.20,152.60,161
Charged Attack 2 DMG,71.98,77.84,83.70,92.07,97.93,104.62,113.83,123.04,132.25,142.29,152.33,162.38,172.42,182.47,192.51
Charged Attack Stamina Cost,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Riptide Slash,60.20,65.10,70,77,81.90,87.50,95.20,102.90,110.60,119,127.40,135.80,144.20,152.60,161
Max Duration,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Preemptive CD,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36,6-36
Max CD,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
