,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,70,75.70,81.40,89.54,95.24,101.75,110.70,119.66,128.61,138.38,148.15,157.92,167.68,177.45,187.22
2-Hit DMG,63.12,68.26,73.40,80.74,85.88,91.75,99.82,107.90,115.97,124.78,133.59,142.40,151.20,160.01,168.82
3-Hit DMG,80.32,86.86,93.40,102.74,109.28,116.75,127.02,137.30,147.57,158.78,169.99,181.20,192.40,203.61,214.82
4-hit DMG,101.22,109.46,117.70,129.47,137.71,147.13,160.07,173.02,185.97,200.09,214.21,228.34,242.46,256.59,270.71
Charged Attack Spinning DMG,56.29,60.87,65.45,71.99,76.57,81.81,89.01,96.21,103.41,111.26,119.12,126.97,134.82,142.68,150.53
Charged Attack Final DMG,101.78,110.07,118.35,130.19,138.47,147.94,160.96,173.97,186.99,201.20,215.40,229.60,243.80,258,272.21
Charged Attack Stamina Cost,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Max Duration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Plunge DMG,74.59,80.66,86.73,95.40,101.47,108.41,117.95,127.49,137.03,147.44,157.85,168.26,178.66,189.07,199.48
Low Plunge DMG,149.14,161.28,173.42,190.77,202.91,216.78,235.86,254.93,274.01,294.82,315.63,336.44,357.25,378.06,398.87
High Plunge DMG,186.29,201.45,216.62,238.28,253.44,270.77,294.60,318.42,342.25,368.25,394.24,420.23,446.23,472.22,498.21
