,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,31.73,34.32,36.90,40.59,43.17,46.13,50.18,54.24,58.30,62.73,67.80,73.77,79.74,85.70,92.21
2-Hit DMG,35.60,38.50,41.40,45.54,48.44,51.75,56.30,60.86,65.41,70.38,76.07,82.77,89.46,96.16,103.46
3-Hit DMG,45.49,49.20,52.90,58.19,61.89,66.13,71.94,77.76,83.58,89.93,97.20,105.76,114.31,122.87,132.20
4-Hit DMG,45.49,49.20,52.90,58.19,61.89,66.13,71.94,77.76,83.58,89.93,97.20,105.76,114.31,122.87,132.20
5-Hit DMG,48.25,52.17,56.10,61.71,65.64,70.13,76.30,82.47,88.64,95.37,103.08,112.16,121.23,130.30,140.19
6-Hit DMG,57.62,62.31,67,73.70,78.39,83.75,91.12,98.49,105.86,113.90,123.11,133.95,144.78,155.61,167.43
Aimed Shot,43.86,47.43,51,56.10,59.67,63.75,69.36,74.97,80.58,86.70,92.82,98.94,105.06,111.18,117.30
Aimed Shot Charge Level 1,124,133.30,142.60,155,164.30,173.60,186,198.40,210.80,223.20,235.60,248,263.50,279,294.50
Frostflake Arrow DMG,128,137.60,147.20,160,169.60,179.20,192,204.80,217.60,230.40,243.20,256,272,288,304
Frostflake Arrow Bloom DMG,217.60,233.92,250.24,272,288.32,304.64,326.40,348.16,369.92,391.68,413.44,435.20,462.40,489.60,516.80
Plunge DMG,56.83,61.45,66.08,72.69,77.31,82.60,89.87,97.14,104.41,112.34,120.27,128.20,136.12,144.05,151.98
Low Plunge DMG,113.63,122.88,132.13,145.35,154.59,165.17,179.70,194.23,208.77,224.62,240.48,256.34,272.19,288.05,303.90
High Plunge DMG,141.93,153.49,165.04,181.54,193.10,206.30,224.45,242.61,260.76,280.57,300.37,320.18,339.98,359.79,379.59
