,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,53.75,58.13,62.50,68.75,73.13,78.13,85,91.88,98.75,106.25,114.84,124.95,135.06,145.16,156.19
2-Hit DMG,51.69,55.89,60.10,66.11,70.32,75.13,81.74,88.35,94.96,102.17,110.43,120.15,129.87,139.59,150.19
3-Hit DMG,65.27,70.59,75.90,83.49,88.80,94.88,103.22,111.57,119.92,129.03,139.47,151.74,164.01,176.29,189.67
4-Hit DMG,70.86,76.63,82.40,90.64,96.41,103,112.06,121.13,130.19,140.08,151.41,164.73,178.06,191.38,205.92
5-Hit DMG,88.24,95.42,102.60,112.86,120.04,128.25,139.54,150.82,162.11,174.42,188.53,205.12,221.71,238.30,256.40
Charged Attack 1 DMG,55.04,59.52,64,70.40,74.88,80,87.04,94.08,101.12,108.80,117.60,127.95,138.30,148.65,159.94
Charged Attack 2 DMG,73.10,79.05,85,93.50,99.45,106.25,115.60,124.95,134.30,144.50,156.19,169.93,183.68,197.42,212.42
Charged Attack Stamina Cost,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Plunge DMG,63.93,69.14,74.34,81.77,86.98,92.93,101.10,109.28,117.46,126.38,135.30,144.22,153.14,162.06,170.98
Low Plunge DMG,127.84,138.24,148.65,163.51,173.92,185.81,202.16,218.51,234.86,252.70,270.54,288.38,306.22,324.05,341.89
High Plunge DMG,159.68,172.67,185.67,204.24,217.23,232.09,252.51,272.93,293.36,315.64,337.92,360.20,382.48,404.76,427.04
