,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,41.02,44.36,47.70,52.47,55.81,59.62,64.87,70.12,75.37,81.09,86.81,92.54,98.26,103.99,109.71
2-Hit DMG,41.02,44.36,47.70,52.47,55.81,59.62,64.87,70.12,75.37,81.09,86.81,92.54,98.26,103.99,109.71
3-Hit DMG,54.44,58.87,63.30,69.63,74.06,79.13,86.09,93.05,100.01,107.61,115.21,122.80,130.40,137.99,145.59
4-Hit 1 DMG,31.48,34.04,36.60,40.26,42.82,45.75,49.78,53.80,57.83,62.22,66.61,71,75.40,79.79,84.18
4-Hit 2 DMG,34.40,37.20,40,44,46.80,50,54.40,58.80,63.20,68,72.80,77.60,82.40,87.20,92
5-Hit DMG,66.99,72.45,77.90,85.69,91.14,97.38,105.94,114.51,123.08,132.43,141.78,151.13,160.47,169.82,179.17
Charged Attack 1 DMG,76.80,83.05,89.30,98.23,104.48,111.63,121.45,131.27,141.09,151.81,162.53,173.24,183.96,194.67,205.39
Charged Attack 2 DMG,86,93,100,110,117,125,136,147,158,170,182,194,206,218,230
Charged Attack Stamina Cost,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Plunge DMG,63.93,69.14,74.34,81.77,86.98,92.93,101.10,109.28,117.46,126.38,135.30,144.22,153.14,162.06,170.98
Low Plunge DMG,127.84,138.24,148.65,163.51,173.92,185.81,202.16,218.51,234.86,252.70,270.54,288.38,306.22,324.05,341.89
High Plunge DMG,159.68,172.67,185.67,204.24,217.23,232.09,252.51,272.93,293.36,315.64,337.92,360.20,382.48,404.76,427.04
