,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,44.46,48.08,51.70,56.87,60.49,64.63,70.31,76,81.69,87.89,94.09,100.30,106.50,112.71,118.91
2-Hit DMG,43.43,46.97,50.50,55.55,59.09,63.13,68.68,74.23,79.79,85.85,91.91,97.97,104.03,110.09,116.15
3-Hit DMG,52.98,57.29,61.60,67.76,72.07,77,83.78,90.55,97.33,104.72,112.11,119.50,126.90,134.29,141.68
4-Hit DMG,58.31,63.05,67.80,74.58,79.33,84.75,92.21,99.67,107.12,115.26,123.40,131.53,139.67,147.80,155.94
5-Hit DMG,70.78,76.54,82.30,90.53,96.29,102.88,111.93,120.98,130.03,139.91,149.79,159.66,169.54,179.41,189.29
Charged Attack 1 DMG,55.90,60.45,65,71.50,76.05,81.25,88.40,95.55,102.70,110.50,118.30,126.10,133.90,141.70,149.50
Charged Attack 2 DMG,60.72,65.66,70.60,77.66,82.60,88.25,96.02,103.78,111.55,120.02,128.49,136.96,145.44,153.91,162.38
Charged Attack Stamina Cost,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Plunge DMG,63.93,69.14,74.34,81.77,86.98,92.93,101.10,109.28,117.46,126.38,135.30,144.22,153.14,162.06,170.98
Low Plunge DMG,127.84,138.24,148.65,163.51,173.92,185.81,202.16,218.51,234.86,252.70,270.54,288.38,306.22,324.05,341.89
High Plunge DMG,159.68,172.67,185.67,204.24,217.23,232.09,252.51,272.93,293.36,315.64,337.92,360.20,382.48,404.76,427.04
