,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,79.12,85.56,92,101.20,107.64,115,125.12,135.24,145.36,156.40,167.44,178.48,189.52,200.56,211.60
2-Hit DMG,73.36,79.33,85.30,93.83,99.80,106.63,116.01,125.39,134.77,145.01,155.25,165.48,175.72,185.95,196.19
3-Hit DMG,86.26,93.28,100.30,110.33,117.35,125.38,136.41,147.44,158.47,170.51,182.55,194.58,206.62,218.65,230.69
4-hit DMG,113.43,122.67,131.90,145.09,154.32,164.88,179.38,193.89,208.40,224.23,240.06,255.89,271.71,287.54,303.37
Charged Attack Spinning DMG,50.74,54.87,59,64.90,69.03,73.75,80.24,86.73,93.22,100.30,107.38,114.46,121.54,128.62,135.70
Charged Attack Final DMG,90.47,97.84,105.20,115.72,123.08,131.50,143.07,154.64,166.22,178.84,191.46,204.09,216.71,229.34,241.96
Charged Attack Stamina Cost,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Max Duration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Plunge DMG,74.59,80.66,86.73,95.40,101.47,108.41,117.95,127.49,137.03,147.44,157.85,168.26,178.66,189.07,199.48
Low Plunge DMG,149.14,161.28,173.42,190.77,202.91,216.78,235.86,254.93,274.01,294.82,315.63,336.44,357.25,378.06,398.87
High Plunge DMG,186.29,201.45,216.62,238.28,253.44,270.77,294.60,318.42,342.25,368.25,394.24,420.23,446.23,472.22,498.21
