,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,95.92,102.46,109,117.72,124.26,131.89,141.70,151.51,161.32,171.13,180.94,190.75,200.56,210.37,220.18
2-Hit DMG,82.63,88.27,93.90,101.41,107.05,113.62,122.07,130.52,138.97,147.42,155.87,164.33,172.78,181.23,189.68
3-hit DMG,103.31,110.36,117.40,126.79,133.84,142.05,152.62,163.19,173.75,184.32,194.88,205.45,216.02,226.58,237.15
4-hit DMG,136.05,145.32,154.60,166.97,176.24,187.07,200.98,214.89,228.81,242.72,256.64,270.55,284.46,298.38,312.29
Charged Attack Spinning DMG,62.54,67.63,72.72,79.99,85.08,90.90,98.90,106.90,114.90,123.62,132.35,141.08,149.80,158.53,167.26
Charged Attack Final DMG,113.09,122.30,131.50,144.65,153.86,164.38,178.84,193.31,207.77,223.55,239.33,255.11,270.89,286.67,302.45
Charged Attack Stamina Cost,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Max Duration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Plunge DMG,82.05,88.72,95.40,104.94,111.62,119.25,129.75,140.24,150.74,162.19,173.63,185.08,196.53,207.98,219.43
Low Plunge DMG,164.06,177.41,190.77,209.84,223.20,238.46,259.44,280.43,301.41,324.30,347.19,370.09,392.98,415.87,438.76
High Plunge DMG,204.92,221.60,238.28,262.10,278.78,297.85,324.06,350.27,376.48,405.07,433.66,462.26,490.85,519.44,548.04
