,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG,52.46,56.73,61,67.10,71.37,76.25,82.96,89.67,96.38,103.70,111.02,118.34,125.66,132.98,140.30
2-Hit DMG,51.60,55.80,60,66,70.20,75,81.60,88.20,94.80,102,109.20,116.40,123.60,130.80,138
3-Hit DMG (x2),31.82,34.41,37,40.7,43.29,46.25,50.32,54.39,58.46,62.9,67.34,71.78,76.22,80.66,85.1
4-Hit DMG,69.66,75.33,81,89.10,94.77,101.25,110.16,119.07,127.98,137.70,147.42,157.14,166.86,176.58,186.30
5-Hit 1 DMG,41.62,45.01,48.40,53.24,56.63,60.50,65.82,71.15,76.47,82.28,88.09,93.90,99.70,105.51,111.32
5-Hit 2 DMG,43,46.50,50,55,58.50,62.50,68,73.50,79,85,91,97,103,109,115
Charged Attack DMG,136.74,147.87,159,174.90,186.03,198.75,216.24,233.73,251.22,270.30,289.38,308.46,327.54,346.62,365.70
Charged Attack Stamina Cost,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Plunge DMG,63.93,69.14,74.34,81.77,86.98,92.93,101.10,109.28,117.46,126.38,135.30,144.22,153.14,162.06,170.98
Low Plunge DMG,127.84,138.24,148.65,163.51,173.92,185.81,202.16,218.51,234.86,252.70,270.54,288.38,306.22,324.05,341.89
High Plunge DMG,159.68,172.67,185.67,204.24,217.23,232.09,252.51,272.93,293.36,315.64,337.92,360.20,382.48,404.76,427.04
