,Lv1,Lv2,Lv3,Lv4,Lv5,Lv6,Lv7,Lv8,Lv9,Lv10,Lv11,Lv12,Lv13,Lv14,Lv15
1-Hit DMG (x2),20.38,22.04,23.70,26.07,27.73,29.63,32.23,34.84,37.45,40.29,43.55,47.38,51.21,55.05,59.23
2-Hit DMG,44.38,47.99,51.60,56.76,60.37,64.50,70.18,75.85,81.53,87.72,94.82,103.16,111.50,119.85,128.95
3-Hit DMG,52.37,56.64,60.90,66.99,71.25,76.13,82.82,89.52,96.22,103.53,111.90,121.75,131.60,141.45,152.19
4-Hit DMG (x2),26.06,28.18,30.30,33.33,35.45,37.87,41.21,44.54,47.87,51.51,55.68,60.58,65.48,70.37,75.72
5-Hit DMG,50.65,54.78,58.90,64.79,68.91,73.63,80.10,86.58,93.06,100.13,108.23,117.75,127.28,136.80,147.19
6-Hit DMG,70.95,76.73,82.50,90.75,96.53,103.13,112.20,121.28,130.35,140.25,151.59,164.93,178.27,191.61,206.17
Aimed Shot,43.86,47.43,51,56.10,59.67,63.75,69.36,74.97,80.58,86.70,93.71,101.96,110.21,118.45,127.45
Fully-Charged Aimed Shot,124,133.30,142.60,155,164.30,173.60,186,198.40,210.80,223.20,236.10,252.96,269.82,286.69,303.55
Plunge DMG,56.83,61.45,66.08,72.69,77.31,82.60,89.87,97.14,104.41,112.34,120.27,128.20,136.12,144.05,151.98
Low Plunge DMG,113.63,122.88,132.13,145.35,154.59,165.17,179.70,194.23,208.77,224.62,240.48,256.34,272.19,288.05,303.90
High Plunge DMG,141.93,153.49,165.04,181.54,193.10,206.30,224.45,242.61,260.76,280.57,300.37,320.18,339.98,359.79,379.59
